,review,hotel,hotel_url
0,"Phòng sạch sẽ,nhân viên thân thiện Bể bơi vô cực đẹp",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
1,Trải nghiệm thú vị và tuyệt vời,ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
2,"khách sạn mới và sạch sẽ, nhân viên dễ thương chu đáo",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
3,"Mình đi ngày thường book được giá siêu hời, nhân viên siêu đỉnh và nhiệt tình mình ưng rất ưng luôn á",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
4,"Nhân viên rất nhiệt tình, phòng đẹp và sạch sẽ. Đồ ăn ngon, trang trí theo phong cách châu Âu rất đẹp. Về việc tắm thì hơi bất tiện xíu vì hồ bơi trên tầng 17 nên rất gió khó tắm, còn biển thì đi ké qua bãi tắm của resort nên thấy ngại ngại.",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
5,"Nhân viên nhiệt tình. Bữa sáng ngon. Khá sạch sẽ. Tuy nhiên, phòng cách âm không tốt, gió thổi mạnh nên rất ồn, bể bơi vô cực trên lầu 17, gió rất mạnh nên có mái và vách chắn gió bao quanh bằng kính cường lực để đảm bảo an toàn",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
6,"Phòng rất đẹp, giống hình đăng trên web. Nhân viên thân thiện, ăn sang buffet tuyệt vời. Chỉ cần thêm 1 dịch vụ spa massage body thư giãn view biển nữa là tuyệt vời.",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
7,"Hồ bơi tầng 17 view đẹp nhưng hơi nhỏ, buffet sáng đa dạng chỉnh chu. Nhân viên lịch sự niềm nở, bãi xe ô tô rộng thênh thang. Nói chung trải nghiệm tốt cho gia đình 2 vợ chồng 2 con",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
8,Nhân viên thân thiện. Bữa sáng bình thường. Hồ bơi chỉ dành cho trẻ em.,ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
9,"Phòng nghỉ tạm ổn, nhân viên thân thiện nhiệt tình",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
10,Rất tốt. Dịch vụ và sự hỗ trợ của nhân viên làm tôi hài lòng!,ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
11,"Phòng sạch sẽ, nhân viên dễ thương, nhiệt tình từ bảo vệ tới lễ tân. Điểm trừ là hồ bơi hơi nhỏ. Mình book phòng ngay ngày sn còn được khách sạn tặng bánh chúc mừng. Mình thay mặt gia đình cảm ơn bạn lãnh đạo và toàn thể nv. Có dịp ra Vũng Tàu thì Vias sẽ là lựa chọn ưu tiên.",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
12,"Phòng không cách âm, quá ồn.",ï»¿Vias Hotel Vung Tau,https://www.traveloka.com/en-vn/hotel/vietnam/vias-hotel-vung-tau-3000020015391
