review,Hotel#General,Hotel#Price,Hotel#Designs_Features,Hotel#Cleanliness,Hotel#Comfort,Hotel#Quality,Hotel#Miscellaneous,Rooms#General,Rooms#Price,Rooms#Designs_Features,Rooms#Cleanliness,Rooms#Comfort,Rooms#Quality,Rooms#Miscellaneous,Room_amenities#General,Room_amenities#Price,Room_amenities#Designs_Features,Room_amenities#Cleanliness,Room_amenities#Comfort,Room_amenities#Quality,Room_amenities#Miscellaneous,Facilities#General,Facilities#Price,Facilities#Designs_Features,Facilities#Cleanliness,Facilities#Comfort,Facilities#Quality,Facilities#Miscellaneous,Service#General,Location#General,Food_Drinks#Price,Food_Drinks#Quality,Food_Drinks#Style_Options,Food_Drinks#Miscellaneous
nhân vien phục vụ chuyen nghiep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Chỗ nghỉ rất thoải mái lại gần biển thích hợp cho nghỉ dưỡng và vui chơi. Vị trí trong trung tâm nên đi lại khá là thuận tiện.,Positive,,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,,,,
"Phòng đầy đủ tiện nghi, view đẹp và gần trung tâm, rất thuận tiện, nhân viên thân thiện dễ thương, ấn tượng nhất là bé Hằng, hỗ trợ khách rất nhiệt tình, vui tính, nếu quay lại Đà Lạt sẽ vẫn sẽ chọn The Grace. Quá tuyệt để nghỉ dưỡng.",Positive,,,,,,,Positive,,,,,,,Positive,,,,,,,,,,,,,,Positive,Positive,,,,
"Khách sạn mới, sạch sẽ có điều chỗ bồn cầu bổ sung 1 cái vòi xịt nữa là hết số zách.",,,Positive,Positive,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,
"Check in lúc 3h sáng, check out lúc 9h sáng, trời thì lạnh teo, không biết vị trí cái tủ lạnh nó nằm chỗ nào mà các bạn kiểm phòng cứ nói mình đã sử dụng một chai nước trong tủ lạnh. Chưa kể gửi lại cái vali tới chiều quay lại thì vali không cánh mà bay. Check cam mất gần 1 tiếng, hoá ra bị khách check in mang lộn vào phòng. Coi bộ không bàn giao cho ca sau đồ khách gửi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Khách sạn có không gian rất rộng rãi, thơ mộng. Các dãy nhà, villa đều nằm xen kẽ với rừng thông. Phòng ốc sạch sẽ, rộng rãi như trên hình ứng dụng, bữa ăn sáng ngon, phong phú. Nhân viên khá là thân thiện và nhiệt tình, tuy nhiên hôm mình về các anh Belt không thấy hỗ trợ gia đính đưa đồ từ sảnh ra xe. Nói chung đây là resort đáng để ở, xứng đáng với giá tiền các bạn bỏ ra.",Positive,Positive,Positive,,,,,Positive,,Positive,Positive,,,,,,,,,,,,,,,,,,Neutral,,,Positive,Positive,
"Thiết kế và không gian khách sạn đẹp nhưng hơi xuống cấp. Hồ bơi dơ, nước đục. Biển mùa này động không tắm được. Nhân viên thân thiện. Rất gần Kì Co, Eo gió. Bữa sáng đơn điệu nhưng tạm ổn. Ăn uống trong khách sạn cũng không quá đắt.",,,Positive,,,Negative,,,,,,,,,,,,,,,,,,,Negative,,,,Positive,Positive,Neutral,Neutral,,
"Resort rất đẹp, đi ít ngày nên chưa có khám phá hết khuôn viên Resort, lần sau sẽ ghé lại chơi",Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vị trí chung tâm, lễ tân tốt. phòng không được sạch",,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"phòng sạch, tiếp tân vui vẻ, nhà ăn nhỏ",,,,,,,,,,,Positive,,,,,,,,,,,,,Negative,,,,,Positive,,,,,
"Không khí ở đây rất trong lành, yên tĩnh, thích hợp với nghỉ dưỡng. Hơi xa trung tâm nhưng bù lại dịch vụ rất tuyệt vời",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,
"Phòng dơ, phục vụ chán trong phòng không có khăn không thay ra nệm sàn rất dơ",,,,,,,,,,,Negative,,,,,,Negative,Negative,,,,,,,,,,,Negative,,,,,
"Đề nghị khách sạn tăng thưởng tết cho chị lễ tân tóc ngắn ạaaa, nhiệt tình + đáng iu xỉu -1d khách sạn hong có voixitd*t :(",,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,Positive,,,,,
Thoải mái. Lần sau tôi sẽ quay lại và giới thiệu cùng bạn bè.,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
